fecha;codigo;modulo;tipo;objetivo;cambio_realizado;justificacion;resultado;implicaciones;pendientes;estado;referencia
2026-04-11;WF-HL-001;scripts/process_zonas_vida.py;refactor;Adaptar el procesamiento de zonas de vida a ejecución headless;Se eliminó la dependencia de QGIS Processing y de inicialización de interfaz, reescribiendo el flujo con GDAL puro y control explícito de NoData;El script estaba orientado a ejecución externa dentro de qgis_env y convenía hacerlo más robusto para workflow no supervisado;Script funcional en modo headless con salida categórica Byte y NoData explícito;Establece el patrón base para scripts raster categóricos alineados a reg_unidas;Agregar prueba unitaria e integración mínima;hecho;
2026-04-11;WF-HL-002;scripts/process_viento.py;refactor;Adaptar el procesamiento de variables de viento a un flujo sin GUI;Se sustituyeron componentes de PyQGIS interactivo por lectura, alineación y muestreo con GDAL/OGR y salida tabular/vectorial controlada;Se buscó compatibilidad con ejecución batch y reducción de dependencias interactivas;Flujo operativo para promedio, alineación y extracción en puntos;Queda listo para modularización adicional y pruebas por bloques;Evaluar refactor posterior con xarray y dask para NetCDF;hecho;
2026-04-11;WF-HL-003;scripts/process_huracanes.py;refactor;Migrar rasterización de shapefiles de huracanes a modo headless;Se reemplazó la reproyección con processing por reproyección con GDAL/OGR y rasterización directa a la malla de reg_unidas;La versión previa usaba dependencias interactivas innecesarias para un procesamiento batch;Script funcional en modo headless con selección de campo numérico y salida alineada;El patrón puede reutilizarse para otras series vectoriales temáticas;Definir estrategia más estricta para selección de atributo si hay múltiples campos numéricos;hecho;
2026-04-11;WF-HL-004;scripts/process_erosion_acrecion.py;refactor;Adaptar la rasterización de tasas de erosión/acreción a workflow no supervisado;Se reemplazaron QgsRasterLayer y processing por GDAL/OGR, manteniendo la rasterización del campo Tasa sobre la malla exacta de reg_unidas;La rasterización podía resolverse completamente sin GUI ni sesión activa de QGIS Desktop;Rasterización operativa en modo headless con validación de campo;Queda lista para integración a Snakemake y pruebas formales;Agregar test de integración con shapefile mínimo;hecho;
2026-04-11;WF-HL-005;scripts/process_batimetria.py;refactor;Adaptar el recorte y alineación de batimetría a modo headless;Se eliminó el código sobrante de PyQGIS y se consolidó un único gdal.Warp con cutline, reproyección y alineación a la malla plantilla;La lógica principal ya era headless y podía simplificarse para uso automatizado;Script funcional con validación de entradas y salida raster alineada;Consolida el patrón para variables continuas recortadas con máscara vectorial;Agregar prueba de integración con raster y máscara pequeños;hecho;
2026-04-11;WF-DOC-001;docs/bitacora.csv;documentacion;Definir un formato compacto y reusable para la bitácora técnica del subproyecto;Se propuso una bitácora tabular en CSV con campos estandarizados y categorías de cambio;Se requiere trazabilidad clara y editable tanto desde texto como desde hoja de cálculo;Formato de bitácora definido para uso continuo;Facilita seguimiento técnico y futura integración con reportes automáticos;Poblar entradas conforme avance la modularización y validación;hecho;
2026-04-11;WF-DOC-002;README-headless.md;documentacion;Definir la estructura base de la documentación técnica del subproyecto headless;Se propusieron secciones para propósito, alcance, principios de diseño, entorno, convenciones metodológicas, ejecución y validación;La migración a modo headless necesita quedar explícitamente documentada para asegurar consistencia futura;Estructura documental definida a nivel de propuesta;Servirá como referencia técnica para desarrollo y operación;Redactar primera versión completa del README-headless;pendiente;
2026-04-11;WF-SMK-001;Snakefile y workflow/rules;snakemake;Incorporar una capa de orquestación reproducible para los scripts headless;Se propuso una estructura con Snakefile, archivos de reglas por módulo y config.yaml centralizado;La ejecución por pasos requiere trazabilidad de dependencias y un mecanismo de reejecución controlada;Arquitectura base de Snakemake definida a nivel de propuesta;Sienta la base para automatización reproducible del subproyecto;Implementar la primera versión operativa del Snakefile;pendiente;
2026-04-11;WF-TST-001;tests/ y pytest.ini;pruebas;Diseñar una capa formal de validación para scripts geoespaciales;Se propuso separar pruebas unitarias, de integración y end-to-end mínimas con pytest y fixtures pequeños;El crecimiento del workflow requiere validación sistemática y reproducible;Estrategia de pruebas definida a nivel conceptual;Permitirá detectar errores de entradas, alineación, rasterización y salidas;Crear conftest.py y primera tanda de tests unitarios;pendiente;
2026-04-11;WF-ENV-001;qgis_env;entorno;Fijar el criterio de uso de bibliotecas dentro del entorno virtual;Se acordó priorizar GDAL/OGR para raster y vectores base, xarray/rioxarray para NetCDF, dask para escalamiento y evitar GUI directa;El entorno ya dispone de bibliotecas suficientes para un enfoque headless-first;Criterio técnico de implementación definido;Ayuda a mantener consistencia entre scripts y reducir dependencia de PyQGIS interactivo;Documentar este criterio en README-headless;hecho;
2026-04-11;WF-PY-001;scripts/process_tabla_rasters_por_malla.py;refactor;Traducir a Python el script R de extracción tabular por malla;Se migró a un script headless en Python usando rasterio, numpy y pandas para recortar rasters por malla, extraer valores por píxel válidos y consolidar una tabla única con x y mallaid;Se buscó reemplazar dependencias de terra/dplyr por una implementación portable y apta para workflow no supervisado;Versión funcional en Python con validación básica de entradas y consistencia espacial;Queda listo para integrarse a workflow-iie y para definir pruebas unitarias e integración;Verificar el supuesto de que cada raster de malla representa una sola región y que tomar el primer valor válido como mallaid es metodológicamente correcto;parcial;
2026-04-11;WF-PY-002;scripts/process_tasas_erosion.py;refactor;Traducir a Python el script R de imputación y rasterización de tasas de erosión;Se migró a un script headless en Python usando pandas, rasterio y un modelo k-NN espacial con k igual a 1 para rellenar valores faltantes y rasterizar el resultado sobre reg_unidas;Se buscó preservar la lógica original en R y dejar el proceso apto para workflow automatizado;Versión funcional en Python con imputación espacial y salida raster y tabular;Queda lista para integrarse a workflow-iie y para agregar validación formal;Reemplazar el borrado de columnas por índice por nombres explícitos y confirmar si la imputación debe seguir siendo solo espacial o incorporar covariables;parcial;
2026-04-11;WF-PY-003;scripts/process_no_na_y_division.py;refactor;Traducir a Python el script R de reescritura y división 70/30 de tablas;Se migró a un script headless en Python usando pandas para replicar la copia de un CSV y la partición aleatoria 70/30 con semilla fija;Se buscó preservar el comportamiento original y dejar el proceso apto para workflow automatizado;Versión funcional en Python con validación básica de entradas y escritura controlada de salidas;Queda lista para integrarse a workflow-iie y a pruebas simples de consistencia tabular;Confirmar si el bloque nombrado como sin NA debe realmente eliminar NA, porque el script original solo reescribe el archivo sin limpieza;parcial;
2026-04-11;WF-PY-004;scripts/process_leyendas.py;refactor;Traducir a Python el script R de incorporación de leyendas categóricas;Se migró a un script headless en Python usando pandas para mapear códigos de zonas de vida y conservación de dunas a etiquetas descriptivas y guardar un nuevo CSV enriquecido;Se buscó preservar la lógica original y dejar explícita la detección de valores sin correspondencia;Versión funcional en Python con mapeo de diccionarios y reporte de códigos no asignados;Queda lista para integrarse a workflow-iie y a pruebas tabulares simples;Definir si códigos sin correspondencia deben mantenerse como advertencia o pasar a error de validación formal;parcial;
2026-04-11;WF-PY-006;scripts/process_add_dist_estruct.py;refactor;Traducir a Python el script R de extracción multirraster de distancias a estructuras;Se migró a un script headless en Python usando pandas y rasterio para listar rasters de estructuras, alinearlos si hace falta, extraer valores en puntos x y y crear una columna por raster;Se buscó preservar la lógica original y volver más robusta la alineación espacial respecto a reg_unidas;Versión funcional en Python con validación básica de entradas y reporte de NA por raster;Queda lista para integrarse a workflow-iie y a pruebas de integración con rasters pequeños;Confirmar si la alineación exacta a reg_unidas debe exigirse como precondición y definir el tratamiento formal de columnas completamente vacías;parcial;
2026-04-11;WF-PY-007;scripts/process_tipo_sed.py;refactor;Traducir a Python el script R de rasterización de puntos de tipo de sedimento;Se migró a un script headless en Python usando geopandas y rasterio para leer puntos, reproyectarlos al CRS de reg_unidas y rasterizar un atributo sobre la malla base;Se buscó preservar la lógica original y explicitar una inconsistencia entre el campo codificado y el campo usado para rasterización;Versión funcional en Python con codificación categórica y salida raster controlada;Queda lista para integrarse a workflow-iie y a pruebas de rasterización con puntos mínimos;Confirmar si la rasterización debe usar el campo original raster o el campo codificado id_estruct, ya que el script R crea uno y usa otro;parcial;
2026-04-11;WF-ARC-001;visualizar/;workflow;Definir una capa desacoplada de visualización dentro de la arquitectura general del proyecto;Se incorporó la carpeta visualizar en la raíz de workflow-iie como espacio para ensamblaje cartográfico, consolidación de capas y construcción de proyectos QGIS orientados a salida visual;Se buscó separar el procesamiento analítico headless de la representación cartográfica y la generación de productos presentables;Quedó definida una nueva capa funcional del proyecto complementaria a scripts y al workflow headless;La arquitectura general gana claridad al distinguir entre producción de datos y producción cartográfica;Documentar esta decisión en el README general y más adelante en un README específico dentro de visualizar;hecho;
2026-04-12;WF-TEST-001;tests + pyproject.toml;validacion;Verificar la detección y ejecución de pruebas del proyecto en entorno local Windows;Se ejecutó pytest desde la raíz del proyecto dentro del entorno C:\QGis_env, confirmando el reconocimiento de pyproject.toml, la ruta tests y la ejecución completa de la suite disponible;Era necesario comprobar que la estructura base de pruebas y la configuración mínima del proyecto funcionaran de manera consistente antes de seguir ampliando módulos y utilidades;Pytest recolectó 4 pruebas y todas pasaron correctamente;Confirma que la base de testing e imports del proyecto está operativa y lista para ampliarse con nuevas pruebas unitarias e integrales;Ampliar cobertura de pruebas hacia más módulos del workflow;hecho;
2026-04-12;WF-IO-001;utilidades de árbol/json;validacion;Verificar la obtención de nombres cortos 8.3 en la serialización del árbol del proyecto;Se revisó la lógica de extracción de nombre_corto y se confirmó que en la ruta de trabajo muchos elementos no cuentan con alias 8.3, por lo que el campo debe tratarse como opcional y no inferirse a partir de una ruta parcialmente abreviada;La implementación inicial asumía que todos los elementos tendrían nombre corto, pero la evidencia mostró que el sistema no lo genera necesariamente para todos los archivos y directorios del volumen;Se aclaró el comportamiento esperado de nombre_corto y se evitó registrar valores engañosos en el JSON;Permite mantener una representación más fiel del árbol del proyecto y deja base para decidir si conviene conservar el campo como opcional o añadir una bandera explícita;Definir si se conservará nombre_corto como campo opcional o si se agregará tiene_nombre_corto;hecho;
2026-04-15,R2PY-IE-001,scripts/R2Py_julian/create_ie_raster.py,refactor,"Convertir a Python headless la generación de rasters IE a partir de tabla de entrenamiento, predicciones y mallas de referencia regionales","Se migró el script R de creación de rasters IE a Python headless con pandas, numpy y rasterio; se corrigió la lectura de rutas y encabezados; se sustituyó el emparejamiento por orden implícito por mapeo explícito region->ref_grid.tif; se ordenó el procesamiento por región en orden numérico; se reemplazó la asignación directa de puntos reproyectados a la grilla destino por construcción de grilla fuente en EPSG:4326 y warp a plantilla con reproject(..., Resampling.nearest); se definió nodata explícito y se añadió sobreescritura controlada de salidas; se incorporaron pruebas unitarias con pytest","La versión inicial en Python producía salidas inconsistentes por mezcla de Path/str, lectura incorrecta de encabezados, diferencia entre nombres reales de columnas, desajuste entre CRS geográfico de puntos y CRS proyectado de la plantilla, además de bandeo diagonal por celdas NoData al asignar puntos reproyectados directamente a la malla destino","El script genera GeoTIFF regionales válidos con rangos esperados entre 0 y 1, sin el artefacto principal de bandeo observado en la versión intermedia; la suite de pruebas pasó satisfactoriamente con 14 pruebas aprobadas","Queda establecido un patrón reusable para conversiones R->Python de superficies espaciales: construir raster fuente en CRS original cuando los puntos representan una retícula y reproyectar luego a la malla objetivo; el módulo queda listo para integración posterior con Snakemake y documentación de uso","Verificar visualmente en QGIS una muestra adicional de regiones y documentar el script en README o nota técnica breve; opcionalmente agregar prueba de integración con insumos locales controlados",completado,"Script: create_ie_raster.py; tests: tests/test_create_ie_raster.py"

